abandonment.n.03	the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away
abandonment.n.01	the act of giving something up
desertion.n.01	withdrawing support or help despite allegiance or responsibility
forsaking.n.01	the act of forsaking
humiliation.n.03	an instance in which you are caused to lose your prestige or self-respect
humiliation.n.04	depriving one of self-esteem
embarrassment.n.03	some event that causes someone to be embarrassed
slump.n.01	a noticeable deterioration in performance or quality
suspension.n.04	an interruption in the intensity or amount of something
contraction.n.04	the act of decreasing (something) in size or volume or quantity or scope
abdication.n.01	a formal resignation and renunciation of powers
renunciation.n.03	an act (spoken or written) declaring that something is surrendered or disowned
renunciation.n.04	the act of renouncing; sacrificing or giving up or surrendering (a possession or right or title or privilege etc.)
abduction.n.01	the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife
kidnapping.n.01	(law) the unlawful act of capturing and carrying away a person against their will and holding them in false imprisonment
abduction.n.02	(physiology) moving of a body part away from the central axis of the body
aberration.n.03	an optical phenomenon resulting from the failure of a lens or mirror to produce a good image
abomination.n.03	an action that is vicious or vile; an action that arouses disgust or abhorrence
residency.n.01	the act of dwelling in a place
stay.n.01	continuing or remaining in a place or state
abidance.n.03	the act of abiding (enduring without yielding)
tolerance.n.03	the act of tolerating something
conformity.n.02	acting according to certain accepted standards
deference.n.01	a courteous expression (by word or deed) of esteem or regard
honoring.n.01	conformity with law or custom or practice etc.
retraction.n.01	a disavowal or taking back of a previous assertion
weaning.n.01	the act of substituting other food for the mother's milk in the diet of a child or young mammal
ablation.n.02	the erosive process that reduces the size of glaciers
ablation.n.01	surgical removal of a body part or tissue
abnegation.n.02	renunciation of your own interests in favor of the interests of others
abnegation.n.01	the denial and rejection of a doctrine or belief
abolition.n.01	the act of abolishing a system or practice or institution (especially abolishing slavery)
miscarriage.n.01	failure of a plan
abortion.n.01	termination of pregnancy
burst.n.03	a sudden flurry of activity (often for no obvious reason)
about-face.n.01	act of pivoting 180 degrees, especially in a military formation
about-face.n.02	a major change in attitude or principle or point of view
abrasion.n.02	erosion by friction
grinding.n.03	the wearing down of rock particles by friction due to water or wind or ice
rubdown.n.01	the act of rubbing down, usually for relaxation or medicinal purposes
catharsis.n.01	(psychoanalysis) purging of emotional tensions
abrogation.n.01	the act of abrogating; an official or legal cancellation
abscission.n.02	the act of cutting something off
abscondment.n.01	the act of running away secretly (as to avoid arrest)
bolt.n.07	a sudden abandonment (as from a political party)
absence.n.02	failure to be present
absolution.n.02	the act of absolving or remitting; formal redemption as pronounced by a priest in the sacrament of penance
absorption.n.01	(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid
acculturation.n.03	the process of assimilating new ideas into an existing cognitive structure
assimilation.n.02	the social process of absorbing one cultural group into harmony with another
assimilation.n.06	in the theories of Jean Piaget: the application of a general schema to a particular instance
sucking.n.01	the act of sucking
absorption.n.02	(physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium
occupation.n.01	the principal activity in your life that you do to earn money
