abandonment.n.01	the act of giving something up	GIVE-UP_ABOLISH_ABANDON	1	CHANGE_SWITCH	1	BETRAY	1
desertion.n.01	withdrawing support or help despite allegiance or responsibility	GIVE-UP_ABOLISH_ABANDON	1	BETRAY	1
suspension.n.04	an interruption in the intensity or amount of something	REDUCE_DIMINISH	1	STOP	1
renunciation.n.03	an act (spoken or written) declaring that something is surrendered or disowned	GIVE-UP_ABOLISH_ABANDON	2	DISCARD	1
renunciation.n.04	the act of renouncing; sacrificing or giving up or surrendering (a possession or right or title or privilege etc.)	GIVE-UP_ABOLISH_ABANDON	1	SPEAK	1
stay.n.01	continuing or remaining in a place or state	STAY_DWELL	2	REMAIN	2
conformity.n.02	acting according to certain accepted standards	OBEY	1	MATCH	1
honoring.n.01	conformity with law or custom or practice etc.	LIKE	1	HARMONIZE	1
miscarriage.n.01	failure of a plan	STOP	1	FAIL_LOSE	1
grinding.n.03	the wearing down of rock particles by friction due to water or wind or ice	CORRODE_WEAR-AWAY_SCRATCH	1	BREAK_DETERIORATE	1
rubdown.n.01	the act of rubbing down, usually for relaxation or medicinal purposes	CORRODE_WEAR-AWAY_SCRATCH	1	TOUCH	1
abrogation.n.01	the act of abrogating; an official or legal cancellation	GIVE-UP_ABOLISH_ABANDON	1	CANCEL_ELIMINATE	1
assimilation.n.02	the social process of absorbing one cultural group into harmony with another	CO-OPT	2	LEARN	1
occupation.n.03	any activity that occupies a person's attention	CAUSE-MENTAL-STATE	2	CARRY-OUT-ACTION	1
abstraction.n.03	the process of formulating general concepts by abstracting common properties of instances	THINK	1	INFER	1
misuse.n.01	improper or excessive use	VIOLATE	1	APPLY	1
expiation.n.02	the act of atoning for sin or wrongdoing (especially appeasing a deity)	JUSTIFY_EXCUSE	1	REGRET_SORRY	1
submission.n.02	the act of submitting; usually surrendering power to another	GIVE-UP_ABOLISH_ABANDON	1	SUBJUGATE	1	AGREE_ACCEPT	1
accession.n.06	the act of attaining or gaining access to a new office or right or position (especially the throne)	ASSIGN-smt-to-smn	1	ENTER	1
speed.n.03	changing location rapidly	RUN	3	SPEED-UP	2
adoption.n.01	the act of accepting with approval; favorable reception	AGREE_ACCEPT	2	TOLERATE	1	FOLLOW_SUPPORT_SPONSOR_FUND	1
assumption.n.03	the act of taking possession of or power over something	PAY	1	BEGIN	1	STEAL_DEPRIVE	1
adjustment.n.01	making or becoming suitable; adjusting to circumstances	FIT	2	HARMONIZE	2	ADJUST_CORRECT	1	MATCH	1
accommodation.n.05	the act of providing something (lodging or seat or food) to meet a need	GIVE_GIFT	1	HOST_MEAL_INVITE	1	LOAD_PROVIDE_CHARGE_FURNISH	1
lodging.n.03	the act of lodging	HOST_MEAL_INVITE	1	STAY_DWELL	1
reconciliation.n.02	getting two things to correspond	HARMONIZE	1	COMBINE_MIX_UNITE	1
accomplishment.n.01	the action of accomplishing something	CARRY-OUT-ACTION	1	ACHIEVE	1
execution.n.06	the act of accomplishing some aim or executing some order	CARRY-OUT-ACTION	1	FINISH_CONCLUDE_END	1
fulfillment.n.02	the act of consummating something (a desire or promise etc)	CARRY-OUT-ACTION	1	SATISFY_FULFILL	1
solicitation.n.03	the act of enticing a person to do something wrong (as an offer of sex in return for money)	OFFER	1	LURE_ENTICE	1
calculation.n.01	the procedure of calculating; determining something by mathematical or logical methods	CALCULATE_ESTIMATE	2	SUBJECTIVE-JUDGING	1	GUESS	1
accumulation.n.03	the act of accumulating	AMASS	2	INCREASE_ENLARGE_MULTIPLY	1	POSSESS	1
socialization.n.03	the adoption of the behavior patterns of the surrounding culture	TEACH	2	CO-OPT	1
compilation.n.02	the act of compiling (as into a single book or file or list)	AMASS	1	MOUNT_ASSEMBLE_PRODUCE	1	CREATE_MATERIALIZE	1
conglomeration.n.03	an occurrence combining miscellaneous things into a (more or less) rounded mass	AMASS	1	SHAPE	1
gather.n.02	the act of gathering something	AMASS	2	GROUP	1
crime.n.01	(criminal law) an act punishable by law; usually considered an evil act	ACCUSE	1	VIOLATE	1	PRECLUDE_FORBID_EXPEL	1	IMPLY	1
acetylation.n.01	the process of introducing an acetyl group into a compound	REPLACE	1	INSERT	1
reception.n.04	the act of receiving	RECOGNIZE_ADMIT_IDENTIFY	1	RECEIVE	1
notice.n.02	the act of noticing or paying attention	SEE	2	RECOGNIZE_ADMIT_IDENTIFY	1	FIND	1	WATCH_LOOK-OUT	1	MATCH	1	PERCEIVE	1	SPEAK	1
presentation.n.06	formally making a person known to another or to the public	KNOW	1	SHOW	1
acquiring.n.01	the act of acquiring something	OBTAIN	1	CHANGE-APPEARANCE/STATE	1	BUY	1
learning.n.01	the cognitive process of acquiring skill or knowledge	OBTAIN	1	LEARN	1
growth.n.01	(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level	GROW_PLOW	3	DEVELOP_AGE	2	CHANGE-APPEARANCE/STATE	1
evolution.n.02	(biology) the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms	TAKE	1	AMELIORATE	1
vindication.n.01	the act of vindicating or defending against criticism or censure etc.	SUBJECTIVE-JUDGING	1	ARGUE-IN-DEFENSE	1
act.n.02	something that people do or cause to happen	CARRY-OUT-ACTION	1	AROUSE_WAKE_ENLIVEN	1	INCITE_INDUCE	1
move.n.01	the act of deciding to do something	CARRY-OUT-ACTION	1	MOVE-ONESELF	1
play.n.02	a theatrical performance of a drama	PERFORM	3	SHOW	1
portrayal.n.02	acting the part of a character on stage; dramatically representing the character by speech and action and gesture	SIMULATE	1	PERFORM	1	DECEIVE	1
influence.n.04	the effect of one thing (or person) on another	INFLUENCE	2	PERSUADE	1
litigation.n.01	a legal proceeding in a court; a judicial contest to determine and enforce legal rights	ACCUSE	1	FACE_CHALLENGE	1
activation.n.01	stimulation of activity in an organism or chemical	CONVERT	2	AROUSE_WAKE_ENLIVEN	1	AIR	1
propulsion.n.02	the act of propelling	AROUSE_WAKE_ENLIVEN	1	INCITE_INDUCE	1	MOVE-SOMETHING	1
trigger.n.03	an act that sets in motion some course of events	BEGIN	2	AROUSE_WAKE_ENLIVEN	1	INCITE_INDUCE	1	TEACH	1
count.n.02	the act of counting; reciting numbers in ascending order	COUNT	2	ADD	1
attachment.n.06	the act of attaching or affixing something	ADD	1	ATTACH	1
supplementation.n.02	the act of supplementing	ADD	1	JOIN_CONNECT	1
discussion.n.01	an extended communication (often interactive) dealing with some particular topic	SPEAK	1	DISCUSS	1
attachment.n.05	faithful support for a cause or political party or religion	FOLLOW_SUPPORT_SPONSOR_FUND	1	BEFRIEND	1
contact.n.04	the physical coming together of two or more things	BORDER	1	HIT	1	VIOLATE	1
junction.n.05	an act of joining or adjoining things	BORDER	1	JOIN_CONNECT	1
touch.n.01	the event of something coming in contact with the body	TOUCH	3	BORDER	1	EXTEND	1
respite.n.02	a pause from doing something (as work)	FINISH_CONCLUDE_END	1	STOP	1
withdrawal.n.03	the act of withdrawing	STOP	1	ABSTAIN_AVOID_REFRAIN	1	RESIGN_RETIRE	1	LIBERATE_ALLOW_AFFORD	1	MOVE-BACK	1	REMOVE_TAKE-AWAY_KIDNAP	1	ISOLATE	1
decision_making.n.01	the cognitive process of reaching a decision	FINISH_CONCLUDE_END	1	DECIDE_DETERMINE	1
adjuration.n.01	a solemn and earnest appeal to someone to do something	ASK_REQUEST	1	ORDER	1
command.n.01	an authoritative direction or instruction to do something	ORDER	2	ASK_REQUEST	1	LEAD_GOVERN	1
adjustment.n.03	the act of adjusting something to match a standard	ADJUST_CORRECT	1	RECORD	1
alteration.n.02	the act of making something different (as e.g. the size of a garment)	ADJUST_CORRECT	2	CHANGE_SWITCH	2
allotment.n.02	the act of distributing by allotting or apportioning; distribution according to a plan	GIVE_GIFT	3	SEPARATE_FILTER_DETACH	1
deal.n.09	the act of apportioning or distributing something	GIVE_GIFT	1	SHARE	1
distribution.n.03	the act of distributing or spreading or apportioning	GIVE_GIFT	1	CIRCULATE_SPREAD_DISTRIBUTE	1
insertion.n.02	the act of putting one thing into another	INSERT	2	AUTHORIZE_ADMIT	1	PUT_APPLY_PLACE_PAVE	1
inclusion.n.04	the act of including	AUTHORIZE_ADMIT	1	INCLUDE-AS	1	ADD	1
borrowing.n.01	the appropriation (of ideas or words etc) from another source	LEARN	1	FOLLOW_SUPPORT_SPONSOR_FUND	1
dilution.n.02	weakening (reducing the concentration) by the addition of water or a thinner	DEBASE_ADULTERATE	1	WEAKEN	1
progress.n.02	the act of moving forward (as toward a goal)	GO-FORWARD	2	AMELIORATE	2	MOVE-SOMETHING	1
boost.n.01	the act of giving hope or support to someone	INCREASE_ENLARGE_MULTIPLY	1	STRENGTHEN_MAKE-RESISTANT	1
boost.n.03	the act of giving a push	INCREASE_ENLARGE_MULTIPLY	1	MOVE-SOMETHING	1
improvement.n.01	a change for the better; progress in development	INCREASE_ENLARGE_MULTIPLY	2	AMELIORATE	1
win.n.01	a victory (as in a race or other competition)	AMELIORATE	1	WIN	1
advancement.n.03	gradual improvement or growth or development	AMELIORATE	2	INCREASE_ENLARGE_MULTIPLY	1
aggrandizement.n.01	the act of increasing the wealth or prestige or power or scope of something	PROMOTE	1	EMBELLISH	1	AMELIORATE	1
adventure.n.01	a wild and exciting undertaking (not necessarily lawful)	BID	1	RISK	1
risk.n.02	a venture undertaken without regard to possible loss or injury	BID	1	ENDANGER	1	RISK	1
naming.n.01	the verbal act of naming	CITE	2	RECOGNIZE_ADMIT_IDENTIFY	2	NAME	1
advertising.n.02	the business of drawing public attention to goods and services	SPEAK	2	PUBLICIZE	1
deliberation.n.02	careful consideration	TAKE-INTO-ACCOUNT_CONSIDER	2	WARN	1	DISCUSS	1
telling.n.02	informing by words	INFORM	1	SPEAK	1
suggestion.n.04	persuasion formulated as a suggestion	PROPOSE	1	PERSUADE	1	IMPLY	1
aerosol.n.01	a cloud of solid or liquid particles in a gas	CIRCULATE_SPREAD_DISTRIBUTE	1	COVER_SPREAD_SURMOUNT	1
impingement.n.01	influencing strongly	AFFECT	1	VIOLATE	1
pretense.n.01	the act of giving a false appearance	DECEIVE	1	SIMULATE	1
association.n.02	the act of consorting with or joining with others	ACCOMPANY	1	ALLY_ASSOCIATE_MARRY	1
documentation.n.03	documentary validation	PROVE	1	STRENGTHEN_MAKE-RESISTANT	1	LOAD_PROVIDE_CHARGE_FURNISH	1
affirmation.n.02	the act of affirming or asserting or stating something	AFFIRM	3	PROPOSE	1	SPEAK	1
drama.n.02	an episode that is turbulent or highly emotional	EMBELLISH	1	REPRESENT	1
combination.n.06	the act of arranging elements into specified groups without regard to order	AMASS	1	COMBINE_MIX_UNITE	1
combining.n.01	an occurrence that results in things being united	COMBINE_MIX_UNITE	3	AMASS	1	HARMONIZE	1	EXIST-WITH-FEATURE	1
grouping.n.02	the activity of putting things together in groups	GROUP	1	SORT_CLASSIFY_ARRANGE	1
fomentation.n.03	deliberate and intentional triggering (of trouble or discord)	AROUSE_WAKE_ENLIVEN	2	PERSUADE	1
arousal.n.01	the act of arousing	CAUSE-MENTAL-STATE	1	AROUSE_WAKE_ENLIVEN	1
excitation.n.03	something that agitates and arouses	CAUSE-MENTAL-STATE	1	AROUSE_WAKE_ENLIVEN	1
campaign.n.02	a series of actions advancing a principle or tending toward a particular end	WORK	1	DIRECT_AIM_MANEUVER	1	DRIVE-BACK	1	OBLIGE_FORCE	1	PERSUADE	1	TRY	1
shift.n.05	the act of moving from one place to another	GO-FORWARD	2	MOVE-ONESELF	1	TURN_CHANGE-DIRECTION	1	MOVE-SOMETHING	1
wag.n.02	causing to move repeatedly from side to side	MOVE-SOMETHING	2	MOVE-ONESELF	1	TRAVEL	1
harmony.n.04	agreement of opinions	AGREE_ACCEPT	1	SETTLE_CONCILIATE	1
