abandonment.n.03	the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away	DISCARD
forsaking.n.01	the act of forsaking	GIVE-UP_ABOLISH_ABANDON
humiliation.n.03	an instance in which you are caused to lose your prestige or self-respect	DOWNPLAY_HUMILIATE
humiliation.n.04	depriving one of self-esteem	DOWNPLAY_HUMILIATE
embarrassment.n.03	some event that causes someone to be embarrassed	CAUSE-MENTAL-STATE
abdication.n.01	a formal resignation and renunciation of powers	GIVE-UP_ABOLISH_ABANDON
abduction.n.01	the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife	REMOVE_TAKE-AWAY_KIDNAP
kidnapping.n.01	(law) the unlawful act of capturing and carrying away a person against their will and holding them in false imprisonment	REMOVE_TAKE-AWAY_KIDNAP
abduction.n.02	(physiology) moving of a body part away from the central axis of the body	MOVE-SOMETHING
aberration.n.03	an optical phenomenon resulting from the failure of a lens or mirror to produce a good image	TURN_CHANGE-DIRECTION
abomination.n.03	an action that is vicious or vile; an action that arouses disgust or abhorrence	DISLIKE
residency.n.01	the act of dwelling in a place	STAY_DWELL
abidance.n.03	the act of abiding (enduring without yielding)	TOLERATE
tolerance.n.03	the act of tolerating something	TOLERATE
deference.n.01	a courteous expression (by word or deed) of esteem or regard	LIKE
retraction.n.01	a disavowal or taking back of a previous assertion	SPEAK
weaning.n.01	the act of substituting other food for the mother's milk in the diet of a child or young mammal	REMOVE_TAKE-AWAY_KIDNAP
ablation.n.02	the erosive process that reduces the size of glaciers	CORRODE_WEAR-AWAY_SCRATCH
ablation.n.01	surgical removal of a body part or tissue	REMOVE_TAKE-AWAY_KIDNAP
abnegation.n.02	renunciation of your own interests in favor of the interests of others	ABSTAIN_AVOID_REFRAIN
abnegation.n.01	the denial and rejection of a doctrine or belief	GIVE-UP_ABOLISH_ABANDON
abolition.n.01	the act of abolishing a system or practice or institution (especially abolishing slavery)	GIVE-UP_ABOLISH_ABANDON
abortion.n.01	termination of pregnancy	EXCRETE
burst.n.03	a sudden flurry of activity (often for no obvious reason)	EXIST-WITH-FEATURE
about-face.n.01	act of pivoting 180 degrees, especially in a military formation	TURN_CHANGE-DIRECTION
about-face.n.02	a major change in attitude or principle or point of view	THINK
abrasion.n.02	erosion by friction	CORRODE_WEAR-AWAY_SCRATCH
catharsis.n.01	(psychoanalysis) purging of emotional tensions	SPEAK
