a-scan_ultrasonography.n.01	the use of ultrasonography to measure the length of the eyeball	ANALYZE
a_cappella_singing.n.01	singing without instrumental accompaniment	SING
abatement.n.02	the act of abating	REDUCE_DIMINISH
abatement_of_a_nuisance.n.01	(law) the removal or termination or destruction of something that has been found to be a nuisance	PRECLUDE_FORBID_EXPEL
abbreviation.n.02	shortening something by omitting parts of it	REDUCE_DIMINISH
abdominal_breathing.n.01	breathing in which most of the respiratory effort is done by the abdominal muscles	BREATH_BLOW
abdominocentesis.n.01	centesis of the belly to remove fluid for diagnosis	EMPTY_UNLOAD
abdominoplasty.n.01	cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach	REMOVE_TAKE-AWAY_KIDNAP
abiogenesis.n.01	a hypothetical organic phenomenon by which living organisms are created from nonliving matter	GIVE-BIRTH
abiotrophy.n.01	a loss of vitality and a degeneration of cells and tissues not due to any apparent injury	WORSEN
ablactation.n.01	the cessation of lactation	FINISH_CONCLUDE_END
ableism.n.01	discrimination in favor of the able-bodied	DOWNPLAY_HUMILIATE
abnormality.n.04	behavior that breaches the rule or etiquette or custom or morality	VIOLATE
abort.n.01	the act of terminating a project or procedure before it is completed	FINISH_CONCLUDE_END
aborticide.n.02	the act of destroying a fetus	KILL
abscission.n.01	shedding of flowers and leaves and fruit following formation of scar tissue in a plant	LOSE
absence.n.04	the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy	SLEEP
absence_without_leave.n.01	unauthorized military absence	MISS_OMIT_LACK
absenteeism.n.01	habitual absence from work	MISS_OMIT_LACK
absolute_threshold.n.01	the lowest level of stimulation that a person can detect	PERCEIVE
absorption_band.n.01	a dark band in the spectrum of white light that has been transmitted through a substance that exhibits absorption at selective wavelengths	REFLECT
abstinence.n.02	act or practice of refraining from indulging an appetite	ABSTAIN_AVOID_REFRAIN
abstraction.n.02	the act of withdrawing or removing something	REMOVE_TAKE-AWAY_KIDNAP
academic_requirement.n.01	a requirement for admission to or completion of an academic program	REQUIRE_NEED_WANT_HOPE
academicianship.n.01	the position of member of an honorary academy	WORK
acceptance.n.04	(contract law) words signifying consent to the terms of an offer (thereby creating a contract)	AGREE_ACCEPT
acceptance_sampling.n.01	a statistical procedure for accepting or rejecting a batch of merchandise or documents; involves determining the maximum number of defects discovered in a sample before the entire batch is rejected	CALCULATE_ESTIMATE
accession.n.01	a process of increasing by addition (as to a collection or group)	ADD
accident.n.01	an unfortunate mishap; especially one causing damage or injury	HURT_HARM_ACHE
accident.n.02	anything that happens suddenly or by chance without an apparent cause	HAPPEN_OCCUR
accommodation.n.06	(physiology) the automatic adjustment in focal length of the natural lens of the eye	ADJUST_CORRECT
accommodation_reflex.n.01	reflex changes in the eyes that enable an object to be focused on the retina	PERCEIVE
accord.n.02	concurrence of opinion	AGREE_ACCEPT
accountantship.n.01	the position of accountant	WORK
accretion.n.03	(astronomy) the formation of a celestial object by the effect of gravity pulling together surrounding objects and gases	COMBINE_MIX_UNITE
accretion.n.05	(geology) an increase in land resulting from alluvial deposits or waterborne sediment	INCREASE_ENLARGE_MULTIPLY
acheson_process.n.01	an industrial process for making graphite by heating a mixture of coke and clay	CONVERT
acid-base_equilibrium.n.01	(physiology) the normal equilibrium between acids and alkalis in the body	COMPENSATE
acid_test.n.01	a rigorous or crucial appraisal	ANALYZE
acidimetry.n.01	volumetric analysis using standard solutions of acids to measure the amount of a base present	MEASURE_EVALUATE
acidity.n.02	the taste experience when something acidic is taken into the mouth	TASTE
acoustic_phenomenon.n.01	a physical phenomenon associated with the production or transmission of sound	MAKE-A-SOUND
acoustic_radiation_pressure.n.01	(acoustics) the pressure exerted on a surface normal to the direction of propagation of a sound wave	EMIT
acoustic_resistance.n.01	opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component	RESIST
acridity.n.01	having an acrid smell	SMELL
acrobatic_stunt.n.01	a stunt performed by an acrobat	PERFORM
acrophony.n.01	naming a letter of the alphabet by using a word whose initial sound is the sound represented by that letter	NAME
act_of_god.n.01	a natural and unavoidable catastrophe that interrupts the expected course of events	AFFECT
actinic_radiation.n.01	electromagnetic radiation that can produce photochemical reactions	EMIT
actinometry.n.01	measuring the intensity of electromagnetic radiation (especially of the sun's rays)	MEASURE_EVALUATE
action.n.09	an act by a government body or supranational organization	DECREE_DECLARE
action.n.10	the most important or interesting work or activity in a specific area or field	CARRY-OUT-ACTION
action_potential.n.01	the local voltage change across the cell wall as a nerve impulse is transmitted	CHANGE-APPEARANCE/STATE
activation_energy.n.01	the energy that an atomic system must acquire before a process (such as an emission or reaction) can occur	CONVERT
active_air_defense.n.01	air defense by the use aircraft or missiles or artillery or electronic countermeasures	PROTECT
active_birth.n.01	childbirth during which the mother is encouraged to be an active participant	GIVE-BIRTH
active_transport.n.01	transport of a substance (as a protein or drug) across a cell membrane against the concentration gradient; requires an expenditure of energy	CARRY_TRANSPORT
activity.n.01	any specific behavior	CARRY-OUT-ACTION
actual_eviction.n.01	the physical ouster of a tenant from the leased premises; the tenant is relieved of any further duty to pay rent	DRIVE-BACK
actual_possession.n.01	(law) immediate and direct physical control over property	POSSESS
actual_sin.n.01	a sin committed of your own free will (as contrasted with original sin)	VIOLATE
acupressure.n.01	treatment of symptoms by applying pressure with the fingers to specific pressure points on the body	TREAT-WITH/BY
acupuncture.n.01	treatment of pain or disease by inserting the tips of needles at specific points on the skin	TREAT-WITH/BY
acylation.n.01	the process of introducing an acyl group into a compound	COMBINE_MIX_UNITE
adagio.n.02	a slow section of a pas de deux requiring great skill and strength by the dancers	DANCE
adaptation.n.03	(physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light)	ADJUST_CORRECT
adaptive_radiation.n.01	the development of many different forms from an originally homogeneous group of organisms as they fill different ecological niches	CHANGE-APPEARANCE/STATE
addition_reaction.n.01	a chemical reaction in which one molecule is added to another	COMBINE_MIX_UNITE
adenoidectomy.n.01	surgical removal of the adenoids; commonly performed along with tonsillectomy	REMOVE_TAKE-AWAY_KIDNAP
adiabatic_process.n.01	(thermodynamics) any process that occurs without gain or loss of heat	CONVERT
adjudication.n.01	the final judgment in a legal proceeding; the act of pronouncing judgment based on the evidence presented	DECREE_DECLARE
administration.n.06	the act of meting out justice according to the law	MANAGE
administrative_data_processing.n.01	data processing in accounting or business management	MANAGE
administrative_hearing.n.01	a hearing that takes place outside the judicial process before hearing examiners who have been granted judicial authority specifically for the purpose of conducting such hearings	DISCUSS
administrivia.n.01	the tiresome but essential details that must be taken care of and tasks that must be performed in running an organization	WORK
admiralty.n.02	the office of admiral	LEAD_GOVERN
admiration.n.03	a favorable judgment	LIKE
adoration.n.03	the worship given to God alone	APPROVE_PRAISE
adoxography.n.01	fine writing in praise of trivial or base subjects	WRITE
adrenalectomy.n.01	surgical removal of one or both adrenal glands	REMOVE_TAKE-AWAY_KIDNAP
adrenarche.n.01	the increase in activity of the adrenal glands just before puberty	DEVELOP_AGE
adrenergic_agonist_eyedrop.n.01	a treatment for glaucoma; the eyedrops reduce intraocular pressure by decreasing the production of aqueous humor and increasing its drainage through the uveoscleral pathway	HELP_HEAL_CARE_CURE
adult_education.n.01	a course (via lectures or correspondence) for adults who are not otherwise engaged in formal study	TEACH
adulteration.n.02	the act of adulterating (especially the illicit substitution of one substance for another)	DEBASE_ADULTERATE
adultery.n.01	extramarital sex that willfully and maliciously interferes with marriage relations	HAVE-SEX
adversity.n.02	a stroke of ill fortune; a calamitous event	HAPPEN_OCCUR
advertising_campaign.n.01	an organized program of advertisements	PUBLICIZE
advisory_service.n.01	a consulting service in which a CPA develops findings and conclusions and recommendations that are presented to the client for consideration and decision making	INFORM
aerobics.n.01	exercise that increases the need for oxygen	STRENGTHEN_MAKE-RESISTANT
aerobiosis.n.01	life sustained in the presence of air or oxygen	EXIST_LIVE
aerodynamic_force.n.01	forces acting on airfoils in motion relative to the air (or other gaseous fluids)	MOVE-SOMETHING
aerodynamic_lift.n.01	the component of the aerodynamic forces acting on an airfoil that opposes gravity	RAISE
aeronautical_engineering.n.02	the activity of designing and constructing aircraft	MOUNT_ASSEMBLE_PRODUCE
aerophagia.n.01	swallowing air (usually followed by belching and discomfort and flatulence)	EAT_BITE
aerophilately.n.01	the collection and study of airmail stamps	GROUP
affair.n.03	a vaguely specified social event	PLAN_SCHEDULE
affairs.n.02	transactions of professional or public interest	WORK
affinity.n.01	(immunology) the attraction between an antigen and an antibody	COMBINE_MIX_UNITE
affinity.n.05	the force attracting atoms to each other and binding them together in a molecule	ATTRACT_SUCK
affirmative_action.n.01	a policy designed to redress past discrimination against women and minority groups through measures to improve their economic and educational opportunities	PROMOTE
affray.n.01	noisy quarrel	QUARREL_POLEMICIZE
affray.n.02	a noisy fight	FIGHT
affusion.n.01	the act of baptizing someone by pouring water on their head	WET
aftercare.n.01	care and treatment of a convalescent patient	HELP_HEAL_CARE_CURE
aftereffect.n.01	any result that follows its cause after an interval	COME-AFTER_FOLLOW-IN-TIME
afterglow.n.01	a glow sometimes seen in the sky after sunset	LIGHT_SHINE
aftermath.n.01	the consequences of an event (especially a catastrophic event)	RESULT_CONSEQUENCE
aftershock.n.01	a tremor (or one of a series of tremors) occurring after the main shock of an earthquake	MOVE-SOMETHING
agape.n.03	a religious meal shared as a sign of love and fellowship	EAT_BITE
age-related_macular_degeneration.n.01	macular degeneration that is age-related	WORSEN
ageism.n.01	discrimination against middle-aged and elderly people	DOWNPLAY_HUMILIATE
agenesis.n.01	imperfect development; nondevelopment of a part	WORSEN
agglomeration.n.02	the act of collecting in a mass; the act of agglomerating	AMASS
agglutination.n.03	the coalescing of small particles that are suspended in solution; these larger masses are then (usually) precipitated	AMASS
agglutination_test.n.01	a blood test used to identify unknown antigens; blood with the unknown antigen is mixed with a known antibody and whether or not agglutination occurs helps to identify the antigen; used in tissue matching and blood grouping and diagnosis of infections	ANALYZE
aggravated_assault.n.01	a reckless attack with intent to injure seriously (as with a deadly weapon)	HURT_HARM_ACHE
aggression.n.05	deliberately unfriendly behavior	BEHAVE
aggro.n.01	(informal British usage) aggravation or aggression	HURT_HARM_ACHE
aging.n.02	the organic process of growing older and showing the effects of increasing age	DEVELOP_AGE
agitation.n.04	disturbance usually in protest	FACE_CHALLENGE
agitation.n.05	the act of agitating something; causing it to move around (usually vigorously)	MOVE-SOMETHING
agnus_dei.n.01	figure of a lamb; emblematic of Christ	REPRESENT
agon.n.01	a festivity in ancient Greece at which competitors contended for prizes	CELEBRATE_PARTY
agribusiness.n.01	a large-scale farming enterprise	WORK
agrypnia.n.01	a vigil before certain feasts (as e.g. Easter)	CELEBRATE_PARTY
aikido.n.01	a Japanese martial art employing principles similar to judo	PLAY_SPORT/GAME
air_cover.n.01	the use of military aircraft to provide protection against attack by enemy aircraft during ground or naval operations	TAKE-SHELTER
air_defense.n.01	defensive measures designed to destroy attacking enemy aircraft or missiles or to nullify their effectiveness	ATTACK_BOMB
air_embolism.n.01	obstruction of the circulatory system caused by an air bubble as, e.g., accidentally during surgery or hypodermic injection or as a complication from scuba diving	CONTRACT-AN-ILLNESS_INFECT
air_mass.n.01	a large body of air with uniform characteristics horizontally	AIR
air_pocket.n.01	a local region of low pressure or descending air that causes a plane to lose height suddenly	AIR
air_raid.n.01	an attack by armed planes on a surface target	ATTACK_BOMB
air_reconnaissance.n.01	reconnaissance either by visual observation from the air or through the use of airborne sensors	WATCH_LOOK-OUT
air_transportation.n.01	transportation by air	CARRY_TRANSPORT
air_travel.n.01	travel via aircraft	TRAVEL
air_wave.n.01	a sound wave that is transmitted via air	TRANSMIT
airborne_patrol.n.01	a patrol provided by aircraft	WATCH_LOOK-OUT
airburst.n.01	an explosion in the atmosphere	EXPLODE
aircraft_landing.n.01	landing an aircraft	ARRIVE
airdrop.n.01	delivery of supplies or equipment or personnel by dropping them by parachute from an aircraft	DROP
airflow.n.01	the flow of air	AIR
airing.n.02	a short excursion (a walk or ride) in the open air	TRAVEL
airplane_mechanics.n.01	the craft of building and repairing airplanes	MOUNT_ASSEMBLE_PRODUCE
airstream.n.01	a relatively well-defined prevailing wind	MOVE-SOMETHING
alarmism.n.01	needless warnings	WARN
alcohol_abuse.n.01	excessive use of alcohol and alcoholic drinks	DRINK
aldol_reaction.n.01	a reaction of aldehydes resulting in an aldol	CONVERT
algometry.n.01	measuring sensitivity to pain or pressure	MEASURE_EVALUATE
algorithm.n.01	a precise rule (or set of rules) specifying how to solve some problem	AUTOMATIZE
algorithm_error.n.01	error resulting from the choice of the wrong algorithm or method for achieving the intended result	MISTAKE
alienation.n.03	(law) the voluntary and absolute transfer of title and possession of real property from one person to another	CHANGE-HANDS
alienation.n.04	the action of alienating; the action of causing to become unfriendly	CAUSE-MENTAL-STATE
alienation_of_affection.n.01	a tort based on willful and malicious interference with the marriage relation by a third party without justification or excuse	CAUSE-MENTAL-STATE
aliyah.n.02	(Judaism) immigration of Jews to Israel	TRAVEL
alkalimetry.n.01	volumetric analysis using standard solutions of alkali to measure the amount of acid present	MEASURE_EVALUATE
