bn:00000153n	wn:00902108n
bn:00000166n	wn:00546070n
bn:00000212n	wn:00204439n
bn:00000214n	wn:00091013n
bn:00000223n	wn:00361333n
bn:00000224n	wn:00361459n
bn:00000240n	wn:00359135n
bn:00000246n	wn:07254456n
bn:00000253n	wn:00833296n
bn:00000259n	wn:00943471n
bn:00000260n	wn:00034777n
bn:00000264n	wn:00775460n
bn:00000265n	wn:00333037n
bn:00000291n	wn:11420139n
bn:00000302n	wn:01021889n
bn:00000319n	wn:11420376n
bn:00000321n	wn:07428111n
bn:00000328n	wn:13423405n
bn:00000330n	wn:00393369n
bn:00000331n	wn:13423489n
bn:00000336n	wn:01154237n
bn:00000339n	wn:00255450n
bn:00000342n	wn:07204665n
bn:00000343n	wn:00205649n
bn:00000350n	wn:00737188n
bn:00000358n	wn:00228283n
bn:00000364n	wn:00745431n
bn:00000369n	wn:00034939n
bn:00000371n	wn:00231315n
bn:00000372n	wn:00230324n
bn:00000378n	wn:00346936n
bn:00000379n	wn:00163406n
bn:00000393n	wn:13423615n
bn:00000401n	wn:00231887n
bn:00000421n	wn:13423779n
bn:00000422n	wn:00392709n
bn:00000424n	wn:00055633n
bn:00000428n	wn:01234345n
bn:00000430n	wn:14088412n
bn:00000431n	wn:00055793n
bn:00000435n	wn:01234528n
bn:00000450n	wn:05712559n
bn:00000457n	wn:00094240n
bn:00000471n	wn:13423922n
bn:00000472n	wn:13424183n
bn:00000477n	wn:11420631n
bn:00000487n	wn:01068773n
bn:00000497n	wn:00392848n
bn:00000498n	wn:05780104n
bn:00000560n	wn:05892991n
bn:00000565n	wn:00588473n
bn:00000628n	wn:05060783n
bn:00000629n	wn:00330457n
bn:00000651n	wn:07176073n
bn:00000654n	wn:00082525n
bn:00000655n	wn:00806621n
bn:00000665n	wn:02671224n
bn:00000666n	wn:00281132n
bn:00000672n	wn:13424477n
bn:00000675n	wn:07177192n
bn:00000676n	wn:00236581n
bn:00000690n	wn:07301336n
bn:00000691n	wn:07300960n
bn:00000702n	wn:13424643n
bn:00000708n	wn:05755486n
bn:00000710n	wn:01210816n
bn:00000711n	wn:00193225n
bn:00000714n	wn:00117124n
bn:00000716n	wn:07284554n
bn:00000724n	wn:00035189n
bn:00000727n	wn:07176804n
bn:00000731n	wn:01086572n
bn:00000752n	wn:00618734n
bn:00000754n	wn:00588598n
bn:00000765n	wn:01140193n
bn:00000766n	wn:13424865n
bn:00000768n	wn:13425425n
bn:00000769n	wn:13425245n
bn:00000770n	wn:13425067n
bn:00000776n	wn:05757049n
bn:00000772n	wn:00372013n
bn:00000793n	wn:00568701n
bn:00000852n	wn:13425637n
bn:00000865n	wn:13425839n
bn:00000904n	wn:13425980n
bn:00000913n	wn:05747495n
bn:00000916n	wn:13426238n
