a-scan_ultrasonography.n.01	the use of ultrasonography to measure the length of the eyeball	ANALYZE
a_cappella_singing.n.01	singing without instrumental accompaniment	SING
abandonment.n.01	the act of giving something up	GIVE-UP_ABOLISH_ABANDON
abandonment.n.03	the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away	DISCARD
abatement.n.02	the act of abating	REDUCE_DIMINISH
abatement_of_a_nuisance.n.01	(law) the removal or termination or destruction of something that has been found to be a nuisance	PRECLUDE_FORBID_EXPEL
abbreviation.n.02	shortening something by omitting parts of it	REDUCE_DIMINISH
abdication.n.01	a formal resignation and renunciation of powers	GIVE-UP_ABOLISH_ABANDON
abdominal_breathing.n.01	breathing in which most of the respiratory effort is done by the abdominal muscles	BREATH_BLOW
abdominocentesis.n.01	centesis of the belly to remove fluid for diagnosis	EMPTY_UNLOAD
abdominoplasty.n.01	cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach	REMOVE_TAKE-AWAY_KIDNAP
abduction.n.01	the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife	REMOVE_TAKE-AWAY_KIDNAP
abduction.n.02	(physiology) moving of a body part away from the central axis of the body	MOVE-SOMETHING
aberration.n.03	an optical phenomenon resulting from the failure of a lens or mirror to produce a good image	TURN_CHANGE-DIRECTION
abidance.n.03	the act of abiding (enduring without yielding)	TOLERATE
abiogenesis.n.01	a hypothetical organic phenomenon by which living organisms are created from nonliving matter	GIVE-BIRTH
abiotrophy.n.01	a loss of vitality and a degeneration of cells and tissues not due to any apparent injury	WORSEN
ablactation.n.01	the cessation of lactation	FINISH_CONCLUDE_END
ablation.n.01	surgical removal of a body part or tissue	REMOVE_TAKE-AWAY_KIDNAP
ablation.n.02	the erosive process that reduces the size of glaciers	CORRODE_WEAR-AWAY_SCRATCH
ableism.n.01	discrimination in favor of the able-bodied	DOWNPLAY_HUMILIATE
ablution.n.01	the ritual washing of a priest's hands or of sacred vessels	WASH_CLEAN
abnegation.n.01	the denial and rejection of a doctrine or belief	GIVE-UP_ABOLISH_ABANDON
abnegation.n.02	renunciation of your own interests in favor of the interests of others	ABSTAIN_AVOID_REFRAIN
abnormality.n.04	behavior that breaches the rule or etiquette or custom or morality	VIOLATE
abolition.n.01	the act of abolishing a system or practice or institution (especially abolishing slavery)	GIVE-UP_ABOLISH_ABANDON
abomination.n.03	an action that is vicious or vile; an action that arouses disgust or abhorrence	DISLIKE
abort.n.01	the act of terminating a project or procedure before it is completed	FINISH_CONCLUDE_END
aborticide.n.02	the act of destroying a fetus	KILL
abortion.n.01	termination of pregnancy	EXCRETE
about-face.n.01	act of pivoting 180 degrees, especially in a military formation	TURN_CHANGE-DIRECTION
about-face.n.02	a major change in attitude or principle or point of view	THINK
abrasion.n.02	erosion by friction	CORRODE_WEAR-AWAY_SCRATCH
abrogation.n.01	the act of abrogating; an official or legal cancellation	CANCEL_ELIMINATE
abscission.n.01	shedding of flowers and leaves and fruit following formation of scar tissue in a plant	LOSE
abscission.n.02	the act of cutting something off	REMOVE_TAKE-AWAY_KIDNAP
abscondment.n.01	the act of running away secretly (as to avoid arrest)	LEAVE_DEPART_RUN-AWAY
absence.n.02	failure to be present	LEAVE_DEPART_RUN-AWAY
absence.n.04	the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy	SLEEP
absence_without_leave.n.01	unauthorized military absence	MISS_OMIT_LACK
absenteeism.n.01	habitual absence from work	MISS_OMIT_LACK
absolute_threshold.n.01	the lowest level of stimulation that a person can detect	PERCEIVE
absolution.n.02	the act of absolving or remitting; formal redemption as pronounced by a priest in the sacrament of penance	PARDON
absorption.n.01	(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid	ABSORB
absorption.n.02	(physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium	ABSORB
absorption_band.n.01	a dark band in the spectrum of white light that has been transmitted through a substance that exhibits absorption at selective wavelengths	REFLECT
abstinence.n.02	act or practice of refraining from indulging an appetite	ABSTAIN_AVOID_REFRAIN
abstraction.n.02	the act of withdrawing or removing something	REMOVE_TAKE-AWAY_KIDNAP
abstraction.n.03	the process of formulating general concepts by abstracting common properties of instances	THINK
academic_requirement.n.01	a requirement for admission to or completion of an academic program	REQUIRE_NEED_WANT_HOPE
academicianship.n.01	the position of member of an honorary academy	WORK
acceleration.n.01	an increase in rate of change	SPEED-UP
acceleration.n.02	the act of accelerating; increasing the speed	SPEED-UP
acceptance.n.04	(contract law) words signifying consent to the terms of an offer (thereby creating a contract)	AGREE_ACCEPT
acceptance.n.07	the act of taking something that is offered	AGREE_ACCEPT
acceptance_sampling.n.01	a statistical procedure for accepting or rejecting a batch of merchandise or documents; involves determining the maximum number of defects discovered in a sample before the entire batch is rejected	CALCULATE_ESTIMATE
access.n.05	(computer science) the operation of reading or writing stored information	TAKE
access.n.06	the act of approaching or entering	ENTER
accession.n.01	a process of increasing by addition (as to a collection or group)	ADD
accession.n.04	agreeing with or consenting to (often unwillingly)	AGREE_ACCEPT
accession.n.06	the act of attaining or gaining access to a new office or right or position (especially the throne)	ACHIEVE
accident.n.01	an unfortunate mishap; especially one causing damage or injury	HURT_HARM_ACHE
accident.n.02	anything that happens suddenly or by chance without an apparent cause	HAPPEN_OCCUR
acclimatization.n.01	adaptation to a new climate (a new temperature or altitude or environment)	CAUSE-MENTAL-STATE
accommodation.n.03	in the theories of jean piaget: the modification of internal representations in order to accommodate a changing knowledge of reality	HARMONIZE
accommodation.n.05	the act of providing something (lodging or seat or food) to meet a need	LOAD_PROVIDE_CHARGE_FURNISH
accommodation.n.06	(physiology) the automatic adjustment in focal length of the natural lens of the eye	ADJUST_CORRECT
accommodation_reflex.n.01	reflex changes in the eyes that enable an object to be focused on the retina	PERCEIVE
accompaniment.n.01	an event or situation that happens at the same time as or in connection with another	ACCOMPANY
accomplishment.n.01	the action of accomplishing something	ACHIEVE
accord.n.02	concurrence of opinion	AGREE_ACCEPT
accordance.n.02	the act of granting rights	GIVE_GIFT
accountancy.n.01	the occupation of maintaining and auditing records and preparing financial reports for a business	CALCULATE_ESTIMATE
accountantship.n.01	the position of accountant	WORK
accreditation.n.01	the act of granting credit or recognition (especially with respect to educational institution that maintains suitable standards)	AGREE_ACCEPT
accretion.n.01	an increase by natural growth or addition	INCREASE_ENLARGE_MULTIPLY
accretion.n.03	(astronomy) the formation of a celestial object by the effect of gravity pulling together surrounding objects and gases	COMBINE_MIX_UNITE
accretion.n.04	(biology) growth by addition as by the adhesion of parts or particles	INCREASE_ENLARGE_MULTIPLY
accretion.n.05	(geology) an increase in land resulting from alluvial deposits or waterborne sediment	INCREASE_ENLARGE_MULTIPLY
acculturation.n.03	the process of assimilating new ideas into an existing cognitive structure	LEARN
accumulation.n.03	the act of accumulating	AMASS
ace.n.06	a serve that the receiver is unable to reach	SCORE
acetylation.n.01	the process of introducing an acetyl group into a compound	INSERT
acheson_process.n.01	an industrial process for making graphite by heating a mixture of coke and clay	CONVERT
acid-base_equilibrium.n.01	(physiology) the normal equilibrium between acids and alkalis in the body	COMPENSATE
acid_test.n.01	a rigorous or crucial appraisal	ANALYZE
acidification.n.01	the process of becoming acid or being converted into an acid	CONVERT
acidimetry.n.01	volumetric analysis using standard solutions of acids to measure the amount of a base present	MEASURE_EVALUATE
acidity.n.02	the taste experience when something acidic is taken into the mouth	TASTE
acoustic_phenomenon.n.01	a physical phenomenon associated with the production or transmission of sound	MAKE-A-SOUND
acoustic_radiation_pressure.n.01	(acoustics) the pressure exerted on a surface normal to the direction of propagation of a sound wave	EMIT
acoustic_resistance.n.01	opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component	RESIST
acquiring.n.01	the act of acquiring something	OBTAIN
acquisition.n.01	the act of contracting or assuming or acquiring possession of something	OBTAIN
acquittal.n.01	a judgment of not guilty	SUBJECTIVE-JUDGING
acridity.n.01	having an acrid smell	SMELL
acrobatic_stunt.n.01	a stunt performed by an acrobat	PERFORM
acrobatics.n.01	the gymnastic moves of an acrobat	PERFORM
acrobatics.n.02	the performance of stunts while in flight in an aircraft	PERFORM
acrophony.n.01	naming a letter of the alphabet by using a word whose initial sound is the sound represented by that letter	NAME
act.n.02	something that people do or cause to happen	CARRY-OUT-ACTION
act.n.04	a short theatrical performance that is part of a longer program	PERFORM
act_of_god.n.01	a natural and unavoidable catastrophe that interrupts the expected course of events	AFFECT
acting.n.01	the performance of a part or role in a drama	PERFORM
actinic_radiation.n.01	electromagnetic radiation that can produce photochemical reactions	EMIT
actinometry.n.01	measuring the intensity of electromagnetic radiation (especially of the sun's rays)	MEASURE_EVALUATE
action.n.01	something done (usually as opposed to something said)	CARRY-OUT-ACTION
action.n.09	an act by a government body or supranational organization	DECREE_DECLARE
action.n.10	the most important or interesting work or activity in a specific area or field	CARRY-OUT-ACTION
action_potential.n.01	the local voltage change across the cell wall as a nerve impulse is transmitted	CHANGE-APPEARANCE/STATE
activation.n.01	stimulation of activity in an organism or chemical	AROUSE_WAKE_ENLIVEN
activation.n.03	making active and effective (as a bomb)	OPERATE
activation_energy.n.01	the energy that an atomic system must acquire before a process (such as an emission or reaction) can occur	CONVERT
active_air_defense.n.01	air defense by the use aircraft or missiles or artillery or electronic countermeasures	PROTECT
active_birth.n.01	childbirth during which the mother is encouraged to be an active participant	GIVE-BIRTH
active_transport.n.01	transport of a substance (as a protein or drug) across a cell membrane against the concentration gradient; requires an expenditure of energy	CARRY_TRANSPORT
activity.n.01	any specific behavior	CARRY-OUT-ACTION
actual_eviction.n.01	the physical ouster of a tenant from the leased premises; the tenant is relieved of any further duty to pay rent	DRIVE-BACK
actual_possession.n.01	(law) immediate and direct physical control over property	POSSESS
actual_sin.n.01	a sin committed of your own free will (as contrasted with original sin)	VIOLATE
acupressure.n.01	treatment of symptoms by applying pressure with the fingers to specific pressure points on the body	TREAT-WITH/BY
acupuncture.n.01	treatment of pain or disease by inserting the tips of needles at specific points on the skin	TREAT-WITH/BY
acylation.n.01	the process of introducing an acyl group into a compound	COMBINE_MIX_UNITE
adagio.n.02	a slow section of a pas de deux requiring great skill and strength by the dancers	DANCE
adaptation.n.02	the process of adapting to something (such as environmental conditions)	ADJUST_CORRECT
adaptation.n.03	(physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light)	ADJUST_CORRECT
adaptive_radiation.n.01	the development of many different forms from an originally homogeneous group of organisms as they fill different ecological niches	CHANGE-APPEARANCE/STATE
addiction.n.03	(roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor); a surrender to a master	CAUSE-SMT
addition.n.02	the act of adding one thing to another	ADD
addition_reaction.n.01	a chemical reaction in which one molecule is added to another	COMBINE_MIX_UNITE
address.n.03	the act of delivering a formal spoken communication to an audience	SPEAK
adduction.n.01	(physiology) moving of a body part toward the central axis of the body	MOVE-SOMETHING
adenoidectomy.n.01	surgical removal of the adenoids; commonly performed along with tonsillectomy	REMOVE_TAKE-AWAY_KIDNAP
adiabatic_process.n.01	(thermodynamics) any process that occurs without gain or loss of heat	CONVERT
adjournment.n.01	the termination of a meeting	FINISH_CONCLUDE_END
adjournment.n.02	the act of postponing to another time or place	STOP
adjudication.n.01	the final judgment in a legal proceeding; the act of pronouncing judgment based on the evidence presented	DECREE_DECLARE
adjuration.n.01	a solemn and earnest appeal to someone to do something	ASK_REQUEST
adjustment.n.01	making or becoming suitable; adjusting to circumstances	FIT
adjustment.n.03	the act of adjusting something to match a standard	ADJUST_CORRECT
administration.n.01	a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)	LEAD_GOVERN
administration.n.03	the act of administering medication	GIVE_GIFT
administration.n.06	the act of meting out justice according to the law	MANAGE
administrative_data_processing.n.01	data processing in accounting or business management	MANAGE
administrative_hearing.n.01	a hearing that takes place outside the judicial process before hearing examiners who have been granted judicial authority specifically for the purpose of conducting such hearings	DISCUSS
administrivia.n.01	the tiresome but essential details that must be taken care of and tasks that must be performed in running an organization	WORK
admiralty.n.02	the office of admiral	LEAD_GOVERN
admiration.n.03	a favorable judgment	LIKE
admission.n.01	the act of admitting someone to enter	AUTHORIZE_ADMIT
adoption.n.01	the act of accepting with approval; favorable reception	FOLLOW_SUPPORT_SPONSOR_FUND
adoption.n.02	a legal proceeding that creates a parent-child relation between persons not related by blood; the adopted child is entitled to all privileges belonging to a natural child of the adoptive parents (including the right to inherit)	CO-OPT
adoration.n.02	the act of admiring strongly	LIKE
adoration.n.03	the worship given to God alone	APPROVE_PRAISE
adornment.n.02	the action of decorating yourself with something colorful and interesting	EMBELLISH
adoxography.n.01	fine writing in praise of trivial or base subjects	WRITE
adrenalectomy.n.01	surgical removal of one or both adrenal glands	REMOVE_TAKE-AWAY_KIDNAP
adrenarche.n.01	the increase in activity of the adrenal glands just before puberty	DEVELOP_AGE
adrenergic_agonist_eyedrop.n.01	a treatment for glaucoma; the eyedrops reduce intraocular pressure by decreasing the production of aqueous humor and increasing its drainage through the uveoscleral pathway	HELP_HEAL_CARE_CURE
