wn:00902108n	a-scan_ultrasonography%1:04:00::
wn:00546070n	a_cappella_singing%1:04:00::
wn:00204439n	abandonment%1:04:03::
wn:00091013n	abandonment%1:04:02::
wn:00361333n	abatement%1:04:00::
wn:00361459n	abatement_of_a_nuisance%1:04:00::
wn:00359135n	abbreviation%1:04:00::
wn:07254456n	abdication%1:10:00::
wn:00833296n	abdominal_breathing%1:04:00::
wn:00943471n	abdominocentesis%1:04:00::
wn:00034777n	abdominoplasty%1:04:00::
wn:00775460n	abduction%1:04:00::
wn:00333037n	abduction%1:04:01::
wn:11420139n	aberration%1:19:00::
wn:01021889n	abidance%1:04:00::
wn:11420376n	abiogenesis%1:19:00::
wn:07428111n	abiotrophy%1:11:00::
wn:13423405n	ablactation%1:22:00::
wn:00393369n	ablation%1:04:00::
wn:13423489n	ablation%1:22:00::
wn:01154237n	ableism%1:04:00::
wn:00255450n	ablution%1:04:00::
wn:07204665n	abnegation%1:10:00::
wn:00205649n	abnegation%1:04:00::
wn:00737188n	abnormality%1:04:00::
wn:00228283n	abolition%1:04:00::
wn:00745431n	abomination%1:04:00::
wn:00034939n	abort%1:04:00::
wn:00231315n	aborticide%1:04:00::
wn:00230324n	abortion%1:04:00::
wn:00346936n	about-face%1:04:02::
wn:00163406n	about-face%1:04:01::
wn:13423615n	abrasion%1:22:00::
wn:00231887n	abrogation%1:04:00::
wn:13423779n	abscission%1:22:00::
wn:00392709n	abscission%1:04:00::
wn:00055633n	abscondment%1:04:00::
wn:01234345n	absence%1:04:00::
wn:14088412n	absence%1:26:01::
wn:00055793n	absence_without_leave%1:04:00::
wn:01234528n	absenteeism%1:04:00::
wn:05712559n	absolute_threshold%1:09:00::
wn:00094240n	absolution%1:04:00::
wn:13423922n	absorption%1:22:00::
wn:13424183n	absorption%1:22:02::
wn:11420631n	absorption_band%1:19:00::
wn:01068773n	abstinence%1:04:00::
wn:00392848n	abstraction%1:04:00::
wn:05780104n	abstraction%1:09:02::
wn:05892991n	academic_requirement%1:09:00::
wn:00588473n	academicianship%1:04:00::
wn:05060783n	acceleration%1:07:00::
wn:00330457n	acceleration%1:04:00::
wn:07176073n	acceptance%1:10:01::
wn:00082525n	acceptance%1:04:03::
wn:00806621n	acceptance_sampling%1:04:00::
wn:02671224n	access%1:06:01::
wn:00281132n	access%1:04:00::
wn:13424477n	accession%1:22:00::
wn:07177192n	accession%1:10:02::
wn:00236581n	accession%1:04:03::
wn:07301336n	accident%1:11:01::
wn:07300960n	accident%1:11:00::
wn:13424643n	acclimatization%1:22:00::
wn:05755486n	accommodation%1:09:00::
wn:01210816n	accommodation%1:04:00::
wn:00193225n	accommodation%1:04:01::
wn:00117124n	accommodation_reflex%1:04:00::
wn:07284554n	accompaniment%1:11:00::
wn:00035189n	accomplishment%1:04:00::
wn:07176804n	accord%1:10:00::
wn:01086572n	accordance%1:04:00::
wn:00618734n	accountancy%1:04:00::
wn:00588598n	accountantship%1:04:00::
wn:01140193n	accreditation%1:04:00::
wn:13424865n	accretion%1:22:00::
wn:13425425n	accretion%1:22:03::
wn:13425245n	accretion%1:22:02::
wn:13425067n	accretion%1:22:01::
wn:05757049n	acculturation%1:09:01::
wn:00372013n	accumulation%1:04:00::
wn:00568701n	ace%1:04:00::
wn:13425637n	acetylation%1:22:00::
wn:13425839n	acheson_process%1:22:00::
wn:13425980n	acid-base_equilibrium%1:22:00::
wn:05747495n	acid_test%1:09:00::
wn:13426238n	acidification%1:22:00::
wn:00647919n	acidimetry%1:04:00::
wn:05716961n	acidity%1:09:00::
wn:11425401n	acoustic_phenomenon%1:19:00::
wn:05100981n	acoustic_radiation_pressure%1:07:00::
