VerbAtlas 1.1.0 - SapienzaNLP - LICENSE: CC BY-SA-NC 4.0 - http://verbatlas.org
va:0001f	TOLERATE	An agent TOLERATES a theme in favour of a beneficiary (+attribute)	bn:00082138v	Put up with something or somebody unpleasant	Tolerate, accept, endure.
va:0002f	OBEY	An agent OBEYS to a theme	bn:00091112v	Be obedient to	Obey, go by, comply.
va:0003f	CARRY_TRANSPORT	An agent CARRIES-TRANSPORTS a theme to a destination from a source using an instrument in favour of a beneficiary (+attribute)	bn:00084554v	Move while supporting, either in a vehicle or in one's hands or on one's body	Carry, transport.
va:0004f	ABSORB	An agent ABSORBS a theme from a source using an instrument	bn:00082169v	Become imbued	Absorb, take in, imbibe.
va:0005f	LEARN	A cause makes an agent LEARN a topic from a source (+attribute)	bn:00082281v	Gain knowledge or skills	Learn, assimilate, take up.
va:0008f	CO-OPT	An agent CO OPTS a patient to achieve a goal	bn:00085214v	Choose or elect as a fellow member or colleague	Co-opt, proselytize, assimilate.
va:0009f	SPEAK	An agent SPEAKS about a topic in a location to a recipient using an instrument achieving a result (+attribute)	bn:00094090v	Use language	Speak, address, talk.
va:0010f	TAKE	An agent TAKES a theme from a source using an asset in favour of a beneficiary	bn:00088762v	Get into one's hands, take physically	Take, pick up, acquire.
va:0011f	AUTHORIZE_ADMIT	An agent AUTHORIZES-ADMITS a beneficiary to a theme for a purpose (+idiom)	bn:00082938v	Grant authorization or clearance for	Admit, authorize, legitimate.
va:0012f	RETAIN_KEEP_SAVE-MONEY	A cause makes an agent RETAINS-KEEPS-SAVES from a source to a destination a theme in favour of a beneficiary for a purpose in a location (+attribute)	bn:00092928v	Hold back within	Keep, save (money).
va:0014f	PERFORM	An agent PERFORMS a theme in favour of a beneficiary using an instrument (+attribute)	bn:00091551v	Give a performance (of something)	Perform, play, act.
va:0015f	ACHIEVE	An agent ACHIEVES a goal	bn:00082226v	To gain with effort	Achieve, gain with effort.
va:0016f	CHANGE_SWITCH	An agent CHANGES-SWITCHES a patient in a result from a source-state using an instrument	bn:00082553v	Cause to change; make different; cause a transformation	Change (in general).
